year,country,Air Border Sector,Coast Guard Sector,Deployment Management Division,European Centre for Returns,Field Deployment Unit,Field Operations Unit,Frontex Situation Centre,Information Fusion Centre,Land Borders Sector,Law Enforcement Sector,Operational Response Division,Pooled Resources Unit,Public Regulated Service,Research and Development Unit,Research and Innovation Unit,Return Operations Sector,Return Support Unit,Risk Analysis Unit,Sea Border Sector,Task Force Deployment Management,Training Unit,n.a.
2012,Denmark,28907.37,NA,NA,NA,NA,NA,NA,NA,44047.11,NA,NA,NA,NA,NA,NA,62806.23,NA,NA,38932.45,NA,NA,NA
2013,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,21117.86,NA,NA,NA,NA,NA,NA,60972.36,NA,NA,89721.33,NA,NA,NA
2014,Denmark,19055.63,NA,NA,NA,NA,NA,7423.66,NA,37595.520000000004,NA,NA,4180.49,NA,NA,NA,181883.18,NA,NA,90700.67,NA,NA,NA
2015,Denmark,42744,NA,NA,NA,NA,NA,NA,NA,44657,NA,NA,14201,NA,NA,NA,591297,NA,NA,1198053,NA,NA,NA
2016,Denmark,14165,NA,NA,NA,NA,NA,NA,NA,110840,NA,NA,12000,NA,NA,NA,NA,2748042,NA,1235454,NA,NA,NA
2017,Denmark,8857,NA,NA,NA,NA,NA,NA,NA,38924,NA,NA,NA,NA,NA,NA,NA,1818014,NA,2793728,NA,NA,NA
2018,Denmark,NA,NA,NA,5783,NA,NA,NA,NA,NA,NA,4839667,8929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Denmark,NA,70500,NA,114980,4391080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Denmark,NA,NA,NA,NA,6447333.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428004,NA,NA
2021,Denmark,NA,NA,1700774.01,1875,4085315,1327890.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Denmark,NA,NA,4809306.04,184022,NA,4813780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Estonia,16884.14,NA,NA,NA,NA,NA,NA,NA,51894.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,12308.58,NA,NA,NA
2009,Estonia,12341.6,NA,NA,NA,NA,NA,NA,NA,190968.25999999998,NA,NA,NA,NA,NA,NA,8112,NA,NA,215768.25999999998,NA,NA,NA
2010,Estonia,34703.41,NA,NA,NA,NA,NA,NA,NA,239919.58,NA,NA,179328.68,NA,NA,NA,NA,NA,NA,11132.28,NA,NA,NA
2011,Estonia,51088.73,NA,NA,NA,NA,NA,NA,NA,396788.25,NA,NA,216454.41,NA,NA,NA,31975.620000000003,NA,NA,41880.94,NA,NA,NA
2012,Estonia,23406.5,NA,NA,NA,NA,NA,15448.88,NA,678517.76,NA,NA,NA,NA,NA,NA,25124,NA,NA,51705.399999999994,NA,NA,NA
2013,Estonia,28724.15,NA,NA,NA,NA,NA,10076.19,NA,349320.01,NA,NA,4344.2,NA,NA,NA,6118.26,NA,NA,23827.190000000002,NA,NA,NA
2014,Estonia,39388.840000000004,NA,NA,NA,NA,NA,10482.93,NA,268836.27,NA,NA,13229.48,NA,NA,NA,NA,NA,NA,583616.06,NA,NA,NA
2015,Estonia,28778,NA,NA,NA,NA,NA,21733,NA,229008,NA,NA,15849,NA,NA,NA,1124,NA,NA,272766,NA,NA,NA
2016,Estonia,44511,NA,NA,NA,NA,NA,31982,NA,339528,NA,NA,NA,NA,NA,NA,NA,259863,NA,946632,NA,NA,NA
2017,Estonia,28438,NA,NA,NA,NA,NA,26410,NA,436699,NA,NA,16604,NA,NA,NA,NA,42294,NA,564311,NA,51933,NA
2018,Estonia,NA,NA,NA,NA,NA,NA,34685,NA,NA,NA,1713291,16345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Estonia,NA,NA,NA,NA,1654362.01,NA,38199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49320.58,NA
2020,Estonia,NA,NA,NA,201797.88,1542886,NA,59287,83304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165442,NA,NA
2021,Estonia,NA,NA,519862.08,158666.67,1259947,143210,30391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27433.36,NA,NA
2022,Estonia,NA,NA,1690503.62,194265.05,NA,763027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Finland,55833.4,NA,NA,NA,NA,NA,NA,NA,87672.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,546863.02,NA,NA,NA
2009,Finland,52707.19,NA,NA,NA,NA,NA,NA,NA,152206.75,NA,NA,NA,NA,NA,NA,6602.98,NA,NA,443182.37,NA,NA,NA
2010,Finland,39121.7,NA,NA,NA,NA,NA,NA,NA,198994.6,NA,NA,72229.95,NA,NA,NA,178833.4,NA,NA,690173.59,NA,NA,NA
2011,Finland,55267.17,NA,NA,NA,NA,NA,NA,NA,298497.93,NA,NA,47351.74,NA,NA,NA,493589.68,NA,NA,1204345.91,NA,NA,NA
2012,Finland,31408.21,NA,NA,NA,NA,NA,NA,NA,208942.97,NA,NA,NA,NA,NA,NA,160200.22,NA,NA,448005.5,NA,NA,NA
2013,Finland,50100.61,NA,NA,NA,NA,NA,NA,NA,265862.38,NA,NA,6169.87,NA,NA,NA,182276.18,NA,NA,773833.87,NA,NA,NA
2014,Finland,25503.17,NA,NA,NA,NA,NA,NA,NA,293444.32,NA,NA,10113.64,NA,NA,NA,363027.21,NA,NA,2043518.22,NA,NA,NA
2015,Finland,59691,NA,NA,NA,NA,NA,NA,NA,237491,NA,NA,3553,NA,NA,NA,311908,NA,NA,870238,NA,NA,NA
2016,Finland,56733,NA,NA,NA,NA,NA,8107,NA,274092,NA,NA,NA,NA,NA,NA,NA,1628034,NA,3490474,NA,NA,NA
2017,Finland,41767,NA,NA,NA,NA,NA,8107,NA,207396,NA,NA,NA,NA,532943,NA,NA,1636631,NA,3986028,NA,NA,NA
2018,Finland,NA,NA,NA,270816,NA,NA,NA,NA,NA,NA,2334073,25736,NA,NA,NA,NA,451909.98,NA,NA,NA,NA,NA
2019,Finland,NA,NA,NA,496574,1284337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Finland,NA,NA,NA,661805.49,1366511,NA,NA,15067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390930,NA,NA
2021,Finland,NA,NA,1007979.48,437064.62,1293219,NA,21228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19733.35,NA,NA
2022,Finland,NA,NA,2543956.1399999997,542982.96,NA,711965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,France,97478.29,NA,NA,NA,NA,NA,NA,NA,20189.93,NA,NA,NA,NA,NA,NA,67386,NA,NA,2364539.07,NA,NA,NA
2009,France,221476.56,NA,NA,NA,NA,NA,NA,NA,47662.009999999995,NA,NA,NA,NA,NA,NA,518097.08,NA,NA,1456645.68,NA,NA,NA
2010,France,108566.11,NA,NA,NA,NA,NA,NA,NA,69989.39,NA,NA,96784,NA,NA,NA,637820.88,NA,NA,1053149.34,NA,NA,NA
2011,France,89060.7,NA,NA,NA,NA,NA,NA,NA,177064.14,NA,NA,61548,NA,NA,NA,563410.62,NA,NA,871293.76,NA,NA,NA
2012,France,88059.83,NA,NA,NA,NA,NA,NA,NA,192331.36,NA,NA,NA,NA,NA,NA,288937.78,NA,NA,170125.9,NA,NA,NA
2013,France,111628.36,NA,NA,NA,NA,NA,NA,NA,118580.97,NA,NA,5478.4,NA,NA,NA,364283.92,NA,NA,266990.16,NA,NA,NA
2014,France,99148.02,NA,NA,NA,NA,NA,NA,NA,152812.05,NA,NA,3859.49,NA,NA,NA,464992.04,NA,NA,909854.8,NA,NA,NA
2015,France,97513,NA,NA,NA,NA,NA,5793,NA,116536,NA,NA,7176,NA,NA,NA,373055,NA,NA,2287951,NA,NA,NA
2016,France,79605,NA,NA,NA,NA,NA,8624,NA,107752,NA,NA,NA,NA,NA,NA,NA,2093812,NA,6504490,NA,NA,NA
2017,France,135992,NA,NA,NA,NA,NA,NA,NA,138450,NA,NA,50490,NA,NA,NA,NA,3582033,NA,6346157,NA,NA,NA
2018,France,NA,NA,NA,1656826,NA,NA,NA,NA,NA,NA,7021281,25736,NA,NA,NA,NA,1438948,NA,NA,NA,43435,NA
2019,France,NA,NA,NA,2971603.2,5825214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,France,NA,20242,NA,2243880.12,3025999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948032,NA,NA
2021,France,NA,NA,906562.39,2661594,4543629.13,759511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,France,NA,NA,7261676.68,3781869,NA,1845449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Georgia,7013.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4196,NA,NA,NA
2015,Georgia,9527,NA,NA,NA,NA,NA,NA,NA,6386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Georgia,15074,NA,NA,NA,NA,NA,NA,NA,17167,NA,NA,NA,NA,NA,NA,NA,5795,NA,NA,NA,NA,NA
2017,Georgia,26705,NA,NA,NA,NA,NA,NA,NA,32874,NA,NA,NA,NA,NA,NA,NA,13420,NA,15702,NA,NA,NA
2018,Georgia,NA,NA,NA,40863.3,NA,NA,NA,NA,NA,NA,58800.64,NA,NA,NA,NA,NA,10978.2,NA,NA,NA,NA,NA
2019,Georgia,NA,NA,NA,29756.7,224341.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Georgia,NA,NA,NA,15857.4,27828.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Georgia,NA,NA,38601.32,41441.1,29346.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Georgia,NA,NA,31783.28,47255.590000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Germany,380576.01,NA,NA,NA,NA,NA,NA,NA,701930.57,NA,NA,NA,NA,NA,NA,64829,NA,NA,1787370.15,NA,NA,NA
2009,Germany,534963.36,NA,NA,NA,NA,NA,NA,NA,830003.3200000001,NA,NA,NA,NA,NA,NA,616836.37,NA,NA,1676306.29,NA,NA,NA
2010,Germany,271744.36,NA,NA,NA,NA,NA,NA,NA,334345.37,NA,NA,500882.87,NA,NA,NA,1106257.73,NA,NA,1122594.96,NA,NA,NA
2011,Germany,308083.83,NA,NA,NA,NA,NA,NA,NA,780079.33,NA,NA,NA,NA,NA,NA,945700.36,NA,NA,751395.17,NA,NA,NA
2012,Germany,324969.99,NA,NA,NA,NA,NA,42736.5,NA,1347523.11,NA,NA,NA,NA,NA,NA,1176072.02,NA,NA,34962.99,NA,NA,NA
2013,Germany,173057.99,NA,NA,NA,NA,NA,NA,NA,953505.9,NA,NA,12122.67,NA,NA,NA,982781.9400000001,NA,NA,28706.28,NA,NA,NA
2014,Germany,78111.93,NA,NA,NA,NA,NA,6918.62,NA,634873.51,NA,NA,17173.93,NA,NA,NA,780078.66,NA,NA,46211.48,NA,NA,NA
2015,Germany,62985,NA,NA,NA,NA,NA,34067,NA,927411,NA,NA,43402,NA,NA,NA,2244679,NA,NA,1485578,NA,NA,NA
2016,Germany,101098,NA,NA,NA,NA,NA,59376,NA,1007212,NA,NA,NA,NA,NA,NA,NA,14529139,NA,9486537,NA,NA,NA
2017,Germany,102835,NA,NA,NA,NA,NA,38277,NA,3247612,NA,NA,64159,NA,NA,NA,NA,16694357,NA,7122137,NA,131897,NA
2018,Germany,NA,NA,NA,18632760.06,NA,NA,28294,NA,NA,NA,11259816,28181,NA,NA,NA,NA,4207120,NA,NA,NA,NA,NA
2019,Germany,NA,NA,NA,26906032.59,9992905.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Germany,NA,110304.12,NA,16548707.99,11812177.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2423669,NA,NA
2021,Germany,NA,99570.85,6798341.44,24774127,10209802,2456941,66679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Germany,NA,18433.71,16793601.81,21302195,NA,2705783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Greece,25461.27,NA,NA,NA,NA,NA,NA,NA,34501.14,NA,NA,NA,NA,NA,NA,6680,NA,NA,3637280.92,NA,NA,NA
2009,Greece,15805.4,NA,NA,NA,NA,NA,NA,NA,50077.79,NA,NA,NA,NA,NA,NA,7166.5,NA,NA,6172789.1,NA,NA,NA
2010,Greece,NA,NA,NA,NA,NA,NA,NA,NA,482998.27,NA,NA,NA,NA,NA,NA,45552.34,NA,NA,3236643.9299999997,NA,NA,NA
2011,Greece,11211.36,NA,NA,NA,NA,NA,NA,NA,1132592.11,NA,NA,202182,NA,NA,NA,4787.9,NA,NA,3276646.54,NA,NA,NA
2012,Greece,22372.11,NA,NA,NA,NA,NA,8071.15,NA,911747.15,NA,NA,NA,NA,21087.27,NA,13034.25,NA,NA,3391611.91,NA,NA,NA
2013,Greece,1693,NA,NA,NA,NA,NA,14931.849999999999,NA,48356.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2929074.83,NA,NA,NA
2014,Greece,2000,NA,NA,NA,NA,NA,4686.6,NA,21679.8,NA,NA,NA,NA,NA,NA,9310.07,NA,NA,2915885.08,NA,NA,NA
2015,Greece,242,NA,NA,NA,NA,NA,47901,NA,162195,NA,NA,48435,NA,NA,NA,NA,NA,NA,7455986,NA,NA,NA
2016,Greece,9101,NA,NA,NA,NA,NA,94342,NA,770824,NA,NA,NA,NA,NA,NA,NA,4609,NA,12547837,NA,NA,NA
2017,Greece,14032,NA,NA,NA,NA,NA,102446,NA,62949,NA,NA,NA,NA,NA,NA,NA,80563,NA,17077876,NA,NA,NA
2018,Greece,NA,NA,NA,14285,NA,NA,114989,NA,NA,NA,11949400,NA,NA,NA,NA,NA,15438,NA,NA,NA,NA,NA
2019,Greece,NA,NA,NA,13832,8946329.92,NA,220138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Greece,NA,NA,NA,3943,6270659,NA,104293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460311,NA,NA
2021,Greece,NA,NA,822683.33,NA,6677439,1307926,137900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366300.29,NA,NA
2022,Greece,NA,NA,5943639.94,NA,NA,9610638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hungary,21254.1,NA,NA,NA,NA,NA,NA,NA,262816.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hungary,49704.3,NA,NA,NA,NA,NA,NA,NA,530489.06,NA,NA,NA,NA,NA,NA,3897.24,NA,NA,NA,NA,NA,NA
2010,Hungary,9072.8,NA,NA,NA,NA,NA,NA,NA,420037.57,NA,NA,97376.78,NA,NA,NA,49510.08,NA,NA,33397,NA,NA,NA
2011,Hungary,65850.73,NA,NA,NA,NA,NA,NA,NA,314458.56,NA,NA,NA,NA,NA,NA,14429.06,NA,NA,28102.65,NA,NA,NA
2012,Hungary,23461.55,NA,NA,NA,NA,NA,7834.5,NA,144772.27,NA,NA,NA,NA,NA,NA,10771.69,NA,NA,24224,NA,NA,NA
2013,Hungary,40975.65,NA,NA,NA,NA,NA,NA,NA,225426.62,NA,NA,6584.78,NA,NA,NA,11419,NA,NA,7515.68,NA,NA,NA
2014,Hungary,20545.07,NA,NA,NA,NA,NA,NA,NA,82187.67,NA,NA,NA,NA,NA,NA,137370.7,NA,NA,NA,NA,NA,NA
2015,Hungary,23225,NA,NA,NA,NA,NA,642,NA,172130,NA,NA,NA,NA,NA,NA,150397,NA,NA,8348,NA,NA,NA
2016,Hungary,33514,NA,NA,NA,NA,NA,19054,NA,353789,NA,NA,NA,NA,NA,NA,NA,310958,NA,54105,NA,NA,NA
2017,Hungary,39869,NA,NA,NA,NA,NA,16270,NA,300358,NA,NA,47150,NA,NA,NA,NA,583781,NA,99597,NA,110695,NA
2018,Hungary,NA,NA,NA,100905.88,NA,NA,16691,NA,NA,NA,741512,8578,NA,NA,NA,NA,191463,NA,NA,NA,113998.44,NA
2019,Hungary,NA,NA,NA,106692,539517,NA,21187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113998.44,NA
2020,Hungary,NA,NA,NA,44166,938422,NA,16717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Hungary,NA,NA,948841.09,70598,2375809,NA,41504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35950.03,NA,NA
2022,Hungary,NA,NA,4263361.37,38232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iceland,4581.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Iceland,41168.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9642.6,NA,NA,NA,NA,NA,NA
2010,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3550.4,NA,NA,4397923.29,NA,NA,NA
2011,Iceland,13385.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5481.13,NA,NA,NA,NA,NA,NA,5142411.21,NA,NA,NA
2012,Iceland,8764.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4308596.84,NA,NA,NA
2013,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130522.68,NA,NA,3511416.08,NA,NA,NA
2014,Iceland,3712.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7469,NA,NA,4294573.8100000005,NA,NA,NA
2015,Iceland,3974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139541,NA,NA,4275937,NA,NA,NA
2016,Iceland,8653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917697,NA,659270,NA,NA,NA
2017,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1891471,NA,3245303,NA,NA,NA
2018,Iceland,NA,NA,NA,396565,NA,NA,NA,NA,NA,NA,2580912,NA,NA,NA,NA,NA,790936.7,NA,NA,NA,NA,NA
2019,Iceland,NA,NA,NA,315411,2919418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Iceland,NA,NA,NA,328427.54000000004,2463620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Iceland,NA,NA,155119.91,164632,3295583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Iceland,NA,NA,299633.16,28661,NA,3036721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Ireland,80573.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Ireland,25150.559999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384188.36,NA,NA,NA,NA,NA,NA
2010,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470031.37,NA,NA,NA,NA,NA,NA
2011,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188755.13999999998,NA,NA,NA,NA,NA,NA
2012,Ireland,4864.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184003.02,NA,NA,NA,NA,NA,NA
2013,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226177.9,NA,NA,NA,NA,NA,NA
2014,Ireland,13188.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186701,NA,NA,NA,NA,NA,NA
2008,Italy,280618.88,NA,NA,NA,NA,NA,NA,NA,135682.86,NA,NA,NA,NA,NA,NA,214566.43,NA,17333.7,8272725.340000001,NA,NA,NA
2009,Italy,177129.51,NA,NA,NA,NA,NA,NA,NA,102556.79,NA,NA,NA,67801.8,NA,NA,298050,NA,NA,4158723.19,NA,NA,NA
2010,Italy,105488.51,NA,NA,NA,NA,NA,NA,NA,32548.399999999998,NA,NA,82530,NA,NA,NA,365885.11,NA,NA,5325184.53,NA,NA,NA
2011,Italy,59025.11,NA,NA,NA,NA,NA,NA,NA,161660.28,NA,NA,37134,NA,NA,NA,382813.28,NA,NA,15756107.61,NA,NA,NA
2012,Italy,116223.04000000001,NA,NA,NA,NA,NA,NA,NA,64368.28,NA,NA,NA,NA,NA,NA,1030941.7999999999,NA,NA,4638190.22,NA,NA,NA
2013,Italy,102337.4,NA,NA,NA,NA,NA,NA,NA,49787.1,NA,NA,NA,NA,NA,NA,820864.3,NA,NA,4406251.21,NA,NA,NA
2014,Italy,128252.08,NA,NA,NA,NA,NA,37711.08,NA,38522.14,NA,NA,NA,NA,NA,NA,1130958.12,NA,NA,7097630.71,NA,NA,NA
2015,Italy,71545,NA,NA,NA,NA,NA,81199,NA,267583,NA,NA,26609,NA,NA,NA,2478771,NA,NA,14568996,NA,NA,NA
2016,Italy,149594,NA,NA,NA,NA,NA,134777,NA,425204,NA,NA,NA,NA,NA,NA,NA,2246645,NA,18457749,NA,NA,NA
2017,Italy,182639,NA,NA,NA,NA,NA,182107,NA,63026,NA,NA,NA,NA,NA,NA,NA,4819514,NA,13253507,NA,134004,NA
2018,Italy,NA,NA,NA,4132090,NA,NA,590175,NA,NA,NA,12780373,NA,NA,NA,NA,NA,1747512,NA,NA,NA,NA,NA
2019,Italy,NA,NA,NA,5183338.9399999995,15779463.71,NA,275917,64919.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Italy,NA,NA,NA,3192370.73,11946318,NA,251367,47684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3695630,NA
