year,country,Air Border Sector,Coast Guard Sector,Deployment Management Division,European Centre for Returns,Field Deployment Unit,Field Operations Unit,Frontex Situation Centre,Information Fusion Centre,Land Borders Sector,Law Enforcement Sector,Operational Response Division,Pooled Resources Unit,Public Regulated Service,Research and Development Unit,Research and Innovation Unit,Return Operations Sector,Return Support Unit,Risk Analysis Unit,Sea Border Sector,Task Force Deployment Management,Training Unit,n.a.
2009,Portugal,136628.79,NA,NA,NA,NA,NA,NA,NA,47354.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,946473.15,NA,NA,NA
2010,Portugal,18110.14,NA,NA,NA,NA,NA,NA,NA,40080.49,NA,NA,96544.8,NA,NA,NA,NA,NA,NA,703516.59,NA,NA,NA
2011,Portugal,73443.04000000001,NA,NA,NA,NA,NA,NA,NA,212700.23,NA,NA,66829.81,NA,NA,NA,79131.99,NA,NA,4210531.9,NA,NA,NA
2012,Portugal,105847.78,NA,NA,NA,NA,NA,8357.37,NA,299993.55,NA,NA,NA,NA,NA,NA,12268.75,NA,NA,2513990.5700000003,NA,NA,NA
2013,Portugal,61225.91,NA,NA,NA,NA,NA,3513.88,NA,266760.22,NA,NA,16765.83,NA,NA,NA,6346.86,NA,NA,2994392.42,NA,NA,NA
2014,Portugal,108903.70999999999,NA,NA,NA,NA,NA,NA,NA,457561.72000000003,NA,NA,NA,NA,NA,NA,4663.65,NA,NA,3351785.23,NA,NA,NA
2015,Portugal,75909,NA,NA,NA,NA,NA,NA,NA,218028,NA,NA,NA,NA,NA,NA,166,NA,NA,4783837,NA,NA,NA
2016,Portugal,99630,NA,NA,NA,NA,NA,NA,NA,372185,NA,NA,NA,NA,NA,NA,NA,355832,NA,9496049,NA,NA,NA
2017,Portugal,109961,NA,NA,NA,NA,NA,89217,NA,759877,NA,NA,44943,NA,NA,NA,NA,64852,NA,8981587,NA,119881,NA
2018,Portugal,NA,NA,NA,23576,NA,NA,386136,NA,NA,NA,12120933.8,26352,NA,NA,NA,NA,15490.59,NA,12743.7,NA,NA,NA
2019,Portugal,NA,NA,NA,37190.729999999996,10713026.35,NA,178564,NA,NA,NA,NA,NA,NA,NA,138675,NA,NA,NA,NA,NA,NA,NA
2020,Portugal,NA,NA,NA,90722.9,7106187,NA,128029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Portugal,NA,NA,1957647.89,12038,3374621,2886945,226873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288483.56,NA,NA
2022,Portugal,NA,NA,3312429.7399999998,19299,NA,6534794,NA,18044.74,NA,48096.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263994.71,NA
2008,Romania,198546.2,NA,NA,NA,NA,NA,NA,NA,246966.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,566421.54,NA,NA,NA
2009,Romania,128065.78,NA,NA,NA,NA,NA,NA,NA,155985.55,NA,NA,NA,NA,NA,NA,2082.6,NA,NA,311746.19,NA,NA,NA
2010,Romania,116090.08,NA,NA,NA,NA,NA,NA,NA,257786.23,NA,NA,515977.7,NA,NA,NA,31529.2,NA,NA,690082.25,NA,NA,NA
2011,Romania,177268.23,NA,NA,NA,NA,NA,NA,NA,1053917.54,NA,NA,145588.5,NA,NA,NA,45341.44,NA,NA,2344671.15,NA,NA,NA
2012,Romania,196689.91,NA,NA,NA,NA,NA,50642.39,NA,1707174.32,NA,NA,NA,NA,NA,NA,93450.39,NA,NA,1369495.7,NA,NA,NA
2013,Romania,133398.5,NA,NA,NA,NA,NA,61125.89,NA,684136.04,NA,NA,9863.26,NA,NA,NA,61226.17,NA,NA,879109.88,NA,NA,NA
2014,Romania,134460.82,NA,NA,NA,NA,NA,33617.26,NA,910107.7999999999,NA,NA,8343.86,NA,NA,NA,4079.6,NA,NA,1432126.35,NA,NA,NA
2015,Romania,85801,NA,NA,NA,NA,NA,100292,NA,1207261,NA,NA,9953,NA,NA,NA,3091,NA,NA,1040078,NA,NA,NA
2016,Romania,206050,NA,NA,NA,NA,NA,131266,NA,1669571,NA,NA,NA,NA,NA,NA,NA,482283,NA,3957528,NA,NA,NA
2017,Romania,170019,NA,NA,NA,NA,NA,160068,NA,1596278,NA,NA,166067,NA,NA,NA,NA,9667,NA,4534108,NA,39531,NA
2018,Romania,NA,NA,NA,NA,NA,NA,136280,NA,NA,NA,3687643,24085,NA,NA,NA,NA,NA,NA,NA,NA,59548.6,NA
2019,Romania,NA,253758,NA,9293,3842816.16,NA,126648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178824.14,NA
2020,Romania,NA,276786.59,NA,22397,5087646,NA,245813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Romania,NA,509754,1524340.09,51694,4340834,1633766,60172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632700.51,NA,NA
2022,Romania,NA,600470,6707982.29,24141,NA,1418860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,34023.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,72538.56999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Serbia,22697.06,NA,NA,NA,NA,NA,NA,NA,111888.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Serbia,4550.57,NA,NA,NA,NA,NA,NA,NA,3657.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Serbia,9252.29,NA,NA,NA,NA,NA,NA,NA,3571.71,NA,NA,5375.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,11089.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Serbia,14597,NA,NA,NA,NA,NA,NA,NA,136465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,83611,NA,NA,NA,NA,NA,NA,NA,7698,NA,NA,NA,NA,NA
2017,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,100074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99856.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Serbia,NA,NA,NA,NA,90547.68000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Serbia,NA,NA,NA,NA,12504.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Serbia,NA,NA,293281.66,NA,3312.72,78683.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Serbia,NA,NA,415992.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Slovakia,37343.770000000004,NA,NA,NA,NA,NA,NA,NA,74659.37,NA,NA,NA,15862.44,NA,NA,539.84,NA,NA,NA,NA,NA,NA
2009,Slovakia,74091.8,NA,NA,NA,NA,NA,NA,NA,473444.01,NA,NA,NA,NA,NA,NA,5787.5,NA,NA,96566.09,NA,NA,NA
2010,Slovakia,54608.77,NA,NA,NA,NA,NA,NA,NA,211956.81,NA,NA,96532.87,NA,NA,NA,1215.5,NA,NA,215411.51,NA,NA,NA
2011,Slovakia,94120.67,NA,NA,NA,NA,NA,NA,NA,98559.51000000001,NA,NA,21583.64,NA,NA,NA,479.4,NA,NA,167876.27,NA,NA,NA
2012,Slovakia,22984.07,NA,NA,NA,NA,NA,5337.95,NA,167912.65000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,98398.45999999999,NA,NA,NA
2013,Slovakia,35594.619999999995,NA,NA,NA,NA,NA,10792.02,NA,83034.95,NA,NA,5245.68,NA,NA,NA,10070.84,NA,NA,82381.44,NA,NA,NA
2014,Slovakia,20859.71,NA,NA,NA,NA,NA,12445.17,NA,68250.03,NA,NA,9213.77,NA,NA,NA,155,NA,NA,98008.81,NA,NA,NA
2015,Slovakia,23861,NA,NA,NA,NA,NA,NA,NA,61747,NA,NA,2109,NA,NA,NA,744,NA,NA,300020,NA,NA,NA
2016,Slovakia,53831,NA,NA,NA,NA,NA,NA,NA,390102,NA,NA,NA,NA,NA,NA,NA,66796,NA,649784,NA,NA,NA
2017,Slovakia,26549,NA,NA,NA,NA,NA,NA,NA,68653,NA,NA,19181,NA,NA,NA,NA,238462,NA,275183,NA,NA,NA
2018,Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999022,15002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Slovakia,NA,NA,NA,NA,727940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Slovakia,NA,NA,NA,1453,750099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313804,NA,NA
2021,Slovakia,NA,NA,511273.08,9533,542650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13433.34,NA,NA
2022,Slovakia,NA,NA,1722641.7,78108,NA,211089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Slovenia,18815.45,NA,NA,NA,NA,NA,NA,NA,64195.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,5022.94,NA,NA,NA
2009,Slovenia,22866.65,NA,NA,NA,NA,NA,NA,NA,107336.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,20636,NA,NA,NA
2010,Slovenia,11279.17,NA,NA,NA,NA,NA,NA,NA,167786.36000000002,NA,NA,24528.8,NA,NA,NA,20057.32,NA,NA,36130.74,NA,NA,NA
2011,Slovenia,19994.550000000003,NA,NA,NA,NA,NA,NA,NA,180609.53,NA,NA,9946.04,NA,NA,NA,10020.12,NA,NA,20328.92,NA,NA,NA
2012,Slovenia,6646.8,NA,NA,NA,NA,NA,NA,NA,244333.16,NA,NA,NA,NA,NA,NA,15633.009999999998,NA,NA,25669.86,NA,NA,NA
2013,Slovenia,9188.24,NA,NA,NA,NA,NA,NA,NA,163482.63,NA,NA,11651.23,NA,NA,NA,6246.66,NA,NA,33242.71,NA,NA,NA
2014,Slovenia,32183.46,NA,NA,NA,NA,NA,NA,NA,192057.51,NA,NA,6803.06,NA,NA,NA,11281.01,NA,NA,37371.259999999995,NA,NA,NA
2015,Slovenia,22363,NA,NA,NA,NA,NA,NA,NA,226145,NA,NA,25081,NA,NA,NA,NA,NA,NA,46213,NA,NA,NA
2016,Slovenia,27160,NA,NA,NA,NA,NA,NA,NA,493900,NA,NA,NA,NA,NA,NA,NA,61306,NA,94555,NA,NA,NA
2017,Slovenia,48084,NA,NA,NA,NA,NA,NA,NA,255355,NA,NA,16459,NA,NA,NA,NA,10576,NA,58875,NA,NA,NA
2018,Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477953,14865,NA,NA,NA,NA,22282,NA,NA,NA,NA,NA
2019,Slovenia,NA,NA,NA,19530,466429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Slovenia,NA,NA,NA,12200,519485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336048,NA,NA
2021,Slovenia,NA,NA,641732.52,35195,705471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14350.01,NA,NA
2022,Slovenia,NA,NA,1969037.1099999999,372246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Spain,256790.12,NA,NA,NA,NA,NA,NA,NA,10724.710000000001,NA,NA,NA,NA,NA,NA,1029730,NA,NA,7028061.24,NA,NA,NA
2009,Spain,239067.94,NA,NA,NA,NA,NA,NA,NA,96119.85,NA,NA,NA,NA,NA,NA,708725.4299999999,NA,NA,7388820.65,NA,NA,NA
2010,Spain,82000.93000000001,NA,NA,NA,NA,NA,NA,NA,60252.74,NA,NA,84276.01,NA,NA,NA,1198676.01,NA,NA,5746656.12,NA,NA,NA
2011,Spain,248212.55,NA,NA,NA,NA,NA,NA,NA,135491.18,NA,NA,3375.74,NA,NA,NA,2369622.99,NA,NA,6228351.96,NA,NA,NA
2012,Spain,194725.87,NA,NA,NA,NA,NA,54862.72,NA,159797.29,NA,NA,NA,NA,NA,NA,1540549.49,NA,NA,4307326.31,NA,NA,NA
2013,Spain,136757.94,NA,NA,NA,NA,NA,52428.03,NA,167203.07,NA,NA,12902.06,NA,NA,NA,2246786.57,NA,NA,3708837.41,NA,NA,NA
2014,Spain,85346.16,NA,NA,NA,NA,NA,57569.58,NA,351626.81,NA,NA,24527.04,NA,NA,NA,1875745,NA,NA,5493449.21,NA,NA,NA
2015,Spain,116689,NA,NA,NA,NA,NA,163555,NA,471256,NA,NA,12738,NA,NA,NA,35716,NA,NA,6081049,NA,NA,NA
2016,Spain,155821,NA,NA,NA,NA,NA,145308,NA,1011159,NA,NA,NA,NA,NA,NA,NA,2684431,NA,7054558,NA,NA,NA
2017,Spain,157592,NA,NA,NA,NA,NA,153502,NA,935474,NA,NA,NA,NA,NA,NA,NA,3385316,NA,7597086,NA,29215,NA
2018,Spain,NA,NA,NA,2325203,NA,NA,149684,NA,NA,NA,8717086,NA,NA,NA,NA,NA,1490922,NA,NA,NA,NA,NA
2019,Spain,NA,NA,NA,3899204,7000374.0600000005,NA,145343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Spain,NA,NA,NA,1006705.1799999999,6321803.28,NA,155566,NA,NA,NA,NA,NA,NA,NA,104590.8,NA,NA,NA,NA,1121881,1235213,NA
2021,Spain,NA,NA,1916971.5299999998,2625301,6405064,1525814.65,139003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266900.21,3910759.43,NA
2022,Spain,NA,NA,6683786.83,2026883,NA,3081210,NA,3852.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6877162,NA
2008,Sweden,40009.6,NA,NA,NA,NA,NA,NA,NA,37933.49,NA,NA,NA,NA,NA,NA,143832,NA,NA,29173.6,NA,NA,NA
2009,Sweden,73404.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786216.25,NA,NA,556228.16,NA,NA,NA
2010,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,20666.9,NA,NA,82136.32,NA,NA,NA,1118590.49,NA,NA,684847.2,NA,NA,NA
2011,Sweden,11348.43,NA,NA,NA,NA,NA,NA,NA,69232.74,NA,NA,NA,NA,NA,NA,1087866.93,NA,NA,55306.81,NA,NA,NA
2012,Sweden,10759.9,NA,NA,NA,NA,NA,NA,NA,30386.1,NA,NA,NA,NA,NA,NA,1067344.56,NA,NA,39603.31,NA,NA,NA
2013,Sweden,30424.690000000002,NA,NA,NA,NA,NA,NA,NA,18048.760000000002,NA,NA,5489.1,NA,NA,NA,698637.77,NA,NA,54183.73,NA,NA,NA
2014,Sweden,43813.83,NA,NA,NA,NA,NA,10677.53,NA,99936.16,NA,NA,3292.39,NA,NA,NA,922486.94,NA,NA,685063.3099999999,NA,NA,NA
2015,Sweden,51844,NA,NA,NA,NA,NA,NA,NA,33360,NA,NA,NA,NA,NA,NA,937208,NA,NA,3862560,NA,NA,NA
2016,Sweden,67311,NA,NA,NA,NA,NA,10889,NA,85910,NA,NA,NA,NA,NA,NA,NA,1663293,NA,3770952,NA,NA,NA
2017,Sweden,37663,NA,NA,NA,NA,NA,NA,NA,48486,NA,NA,NA,NA,NA,NA,NA,2958259,NA,5972677,NA,NA,NA
2018,Sweden,NA,NA,NA,1395679.91,NA,NA,NA,NA,NA,NA,1756068.28,NA,NA,NA,NA,NA,957197,NA,NA,NA,NA,NA
2019,Sweden,NA,NA,NA,5905543,1517944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Sweden,NA,NA,NA,1936752.93,2169081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438762,NA,NA
2021,Sweden,NA,NA,1160962.9300000002,3690339.98,1509731,2676633,20261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20716.68,NA,NA
2022,Sweden,NA,NA,2291596.86,2199139.54,NA,2171021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Switzerland,16974.18,NA,NA,NA,NA,NA,NA,NA,57914.36,NA,NA,NA,NA,NA,NA,35112,NA,NA,NA,NA,NA,NA
2011,Switzerland,98899.51,NA,NA,NA,NA,NA,NA,NA,54437.55,NA,NA,NA,NA,NA,NA,102327.17000000001,NA,NA,76078.51,NA,NA,NA
2012,Switzerland,90165.98,NA,NA,NA,NA,NA,NA,NA,124816.99,NA,NA,NA,NA,NA,NA,34899.240000000005,NA,NA,39060.66,NA,NA,NA
2013,Switzerland,65674.73,NA,NA,NA,NA,NA,NA,NA,134998.69,NA,NA,NA,NA,NA,NA,37653.33,NA,NA,26706.129999999997,NA,NA,NA
2014,Switzerland,59551.770000000004,NA,NA,NA,NA,NA,NA,NA,144870.51,NA,NA,3412.23,NA,NA,NA,142084.73,NA,NA,51105.340000000004,NA,NA,NA
2015,Switzerland,76358,NA,NA,NA,NA,NA,NA,NA,115776,NA,NA,11064,NA,NA,NA,302859,NA,NA,35038,NA,NA,NA
2016,Switzerland,110931,NA,NA,NA,NA,NA,NA,NA,184050,NA,NA,NA,NA,NA,NA,NA,1542454,NA,75359,NA,NA,NA
2017,Switzerland,65832,NA,NA,NA,NA,NA,NA,NA,147750,NA,NA,18410,NA,NA,NA,NA,1476961,NA,97980,NA,NA,NA
2018,Switzerland,NA,NA,NA,871527,NA,NA,NA,NA,NA,NA,373798,10409,NA,NA,NA,NA,1164353.5,NA,NA,NA,NA,NA
2019,Switzerland,NA,NA,NA,1173317,365273.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Switzerland,NA,NA,NA,48756.97,374175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Switzerland,NA,NA,728287.4199999999,487515,521815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Switzerland,NA,NA,1606241.02,406281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,83525.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Turkey,5710.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Turkey,12198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Turkey,11331.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1597,NA,NA,NA
2015,Turkey,26896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Turkey,74713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13401.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Turkey,NA,NA,NA,NA,30757.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,18496.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,29727,NA,NA,NA
2009,Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,41563.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,79153.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,11407,NA,NA,NA
2011,Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,20464,NA,NA,NA,NA,NA,NA,NA,NA,NA,21732.48,NA,NA,NA
2012,Ukraine,57891.71,NA,NA,NA,NA,NA,NA,NA,24962.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,16979.18,NA,NA,NA
2013,Ukraine,17266.59,NA,NA,NA,NA,NA,NA,NA,6545.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5771.4,NA,NA,NA
2014,Ukraine,10251.67,NA,NA,NA,NA,NA,NA,NA,6148.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Ukraine,16191,NA,NA,NA,NA,NA,NA,NA,13666,NA,NA,NA,NA,NA,NA,NA,NA,NA,2452,NA,NA,NA
2016,Ukraine,50566,NA,NA,NA,NA,NA,NA,NA,41632,NA,NA,NA,NA,NA,NA,NA,NA,NA,11664,NA,NA,NA
2017,Ukraine,28328,NA,NA,NA,NA,NA,NA,NA,119622,NA,NA,NA,NA,NA,NA,NA,2768,NA,41788,NA,NA,NA
2018,Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167476.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Ukraine,NA,NA,NA,5189.5,156793.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Ukraine,NA,NA,17396.059999999998,NA,129372.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Ukraine,NA,NA,38028.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,United Kingdom,131536.99,NA,NA,NA,NA,NA,NA,NA,28075.010000000002,NA,NA,NA,NA,NA,NA,111481,NA,14387.84,62135.5,NA,NA,NA
2009,United Kingdom,83138.05,NA,NA,NA,NA,NA,NA,NA,5484.63,NA,NA,NA,NA,NA,NA,NA,NA,24488.64,82968.31,NA,NA,NA
2010,United Kingdom,18068.85,NA,NA,NA,NA,NA,NA,NA,10095.81,NA,NA,NA,NA,NA,NA,1042573.76,NA,NA,99975.9,NA,NA,NA
2011,United Kingdom,20403.57,NA,NA,NA,NA,NA,NA,NA,43181.159999999996,NA,NA,NA,NA,NA,NA,490252.19,NA,NA,11448,NA,NA,NA
2012,United Kingdom,4575.37,NA,NA,NA,NA,NA,NA,NA,54158.28,NA,NA,NA,NA,NA,NA,29578.71,NA,NA,53363.09,NA,NA,NA
2013,United Kingdom,13458.460000000001,NA,NA,NA,NA,NA,NA,NA,83805.92,NA,NA,NA,NA,NA,NA,348623.91,NA,NA,69999.13,NA,NA,NA
2014,United Kingdom,8166.24,NA,NA,NA,NA,NA,NA,NA,4920.93,NA,NA,NA,NA,NA,NA,241613.4,NA,NA,47442.08,NA,NA,NA
2015,United Kingdom,44542,NA,NA,NA,NA,NA,NA,NA,13441,NA,NA,NA,NA,NA,NA,218042,NA,NA,112965,NA,NA,NA
